"Sender, Recipient, Date 1","Sender, Recipient, Date 2",generated
David G. Burnet,J. Pinckney Henderson,492
J. Pinckney Henderson,Secretary of State [Burnet],493
J. Pinckney Henderson,Secretary of State [Burnet],494
J. Pinckney Henderson,Secretary of State [Burnet],495
James Hamilton,David G. Burnet,496
R. Pakenham,James Hamilton,497
James Hamilton,R. Pakenham,498
James Hamilton,R. Pakenham,499
James Buchanan,E. W. Moore,500
E. W. Moore,James Buchanan,501
James Hamilton,Abner S. Lipscomb,502
James Hamilton,Lord Palmerston,503
James Treat,Mirabeau B. Lamar,504
James Treat,Abner S. Lipscomb,505
R. Pakenham,James Treat,506
James Treat,R. Pakenham,507
Abner S. Lipscomb,R. Pakenham,508
John Taylor,Mirabeau B. Lamar,509
List of negro subjects of Great Britain alleged,be held in slavery in Texas,510
James Hamilton,Abner S. Lipscomb,511
Mirabeau B. Lamar,Lord Russell,512
Joseph Waples,Wm. Barron,513
James Hamilton,Abner S. Lipscomb,514
Geo. S. Mcintosh,Mirabeau B. Lamar,515
James Hamilton,Abner S. Lipscomb,516
James Hamilton,Lord Palmerston,517
Abner S. Lipscomb,Wm. Barron,518
James Hamilton,Mirabeau B. Lamar,519
James Hamilton,Monroe Edwards,520
Lord Palmerston,James Hamilton,521
James Hamilton,Abner S. Lipscomb,522
James Hamilton,Abner S. Lipscomb,523
Hamilton and Burnley,James H. Starr,524
James Hamilton,Abner S. Lipscomb,525
James Hamilton,Lord Palmerston,526
Lord Palmerston,James Hamilton,527
James Hamilton,Mirabeau B. Lamar,528
Lord Palmerston,James Hamilton,529
James S. Mayfield,James Hamilton,530
James S. Mayfield,James Hamilton,531
A. T. Biimley,David G. Burnet,532
Arthur Ikin,James S. Mayfield,533
James Hamilton,James S. Mayfield,534
Samuel A. Roberts,James Hamilton,535
John Crawford,Mirabeau B. Lamar,536
Lord Palmerston,Mirabeau B. Lamar,537
James Hamilton,Samuel A. Roberts,538
Anson Jones,James Hamilton,539
James Hamilton,Anson Jones,540
James Hamilton,Anson Jones,541
James Hamilton,Nathaniel Amory,542
James Hamilton,Anson Jones,543
James Hamilton,Anson Jones,544
Anson Jones,Ashbel Smith,545
Arthur Ikin,Anson Jones,546
Anson Jones,Ashbel Smith,547
Geo. Fisher,Anson Jones,548
Ashbel Smith,Anson Jones,549
Ashbel Smith,Anson Jones,550
Ashbel Smith,Anson Jones,551
Anson Jones,Ashbel Smith,552
Ashbel Smith,Anson Jones,553
Ashbel Smith,Anson Jones,554
Lord Aberdeen,Secretary of State of Texas [Jones],555
Ashbel Smith,Anson Jones,556
Ashbel Smith,Anson Jones,557
Ashbel Smith,Lord Aberdeen,558
Ashbel Smith,Anson Jones,559
Ashbel Smith,Edward Everett,560
Edward Everett,Ashbel Smith,561
Edward Everett,Ashbel Smith,562
Edward Everett,Ashbel Smith,563
Ashbel Smith,Samuel Amory,564
Samuel Amory,George K. Teulon,565
Ashbel Smith,Edward Everett,566
Edward Everett,Ashbel Smith,567
Ashbel Smith,Edward Everett,568
Ashbel Smith,Lord Aberdeen,569
Ashbel Smith,Lord Aberdeen,570
Lord Aberdeen,Ashbel Smith,571
M. P. Russell,Ashbel Smith,572
Ashbel Smith,James Reily,573
Ashbel Smith,Geo. S. Mcintosh,574
Ashbel Smith,Lord Aberdeen,575
M. P. Russell,Ashbel Smith,576
Lord Aberdeen,Ashbel Smith,577
Ashbel Smith,Geo. S. Mcintosh,578
Ashbel Smith,Lord Aberdeen,579
Lord Aberdeen,Ashbel Smith,580
Ashbel Smith,M. P. Russell,581
Joseph Hume,Ashbel Smith,582
Lachlin M. Rate,Ashbel Smith,583
Memorandum concerning War Steamers,be used against Texas,584
Wm. Pringle,Ashbel Smith,585
M. P. Russell,Ashbel Smith,586
William Kennedy,Ashbel Smith,587
Arthur Ikin,Ashbel Smith,588
Ashbel Smith,Arthur Ikin,589
Fox Sons & Co.,July 2 1842,590
Ashbel Smith,Lord Aberdeen,591
Gabriel Shaw,Ashbel Smith,592
Ashbel Smith,Joseph Hume,593
Ashbel Smith,Lachlin M. Rate,594
Wm. Pringle,Ashbel Smith,595
Ashbel Smith,Wm. Pringle,596
Lachlin M. Rate,Ashbel Smith,597
Certificate of Exchange of Ratification of Convention as,Debt be-,598
Ashbel Smith,Anson Jones,599
Ashbel Smith,Anson Jones,600
Ashbel Smith,Wm. Pringle,601
Wm. Pringle,Ashbel Smith,602
Wm. Pringle,Ashbel Smith,603
G. W. Terrell,Ashbel Smith,604
Charles Elliot,Secretary of State [Jones],605
G. W. Terrell,Charles Elliot,606
G. W. Terrell,Lord Aberdeen,607
Ashbel Smith,Lord Aberdeen,608
Charles Elliot,G. W. Terrell,609
Joseph Waples,Charles Elliot,610
Ashbel Smith,Anson Jones,611
Ashbel Smith,Lord Aberdeen,612
Ashbel Smith,H. U. Addington,613
Ashbel Smith,Texan Consuls,614
Ashbel Smith,Anson Jones,615
Ashbel Smith,Lord Aberdeen,616
Charles Elliot,Anson Jones,617
Ashbel Smith,Anson Jones,618
